krop_id,image,cx,cy,area_px,area_cm2,weight_g,weight_class,lat,lon
69,orthomosaic_002.png,439.99,522.52,7894.61,493.41,433.48,medium,51.2500026,5.9508769
70,orthomosaic_002.png,227.65,523.45,8658.41,541.15,469.84,medium,51.2500026,5.9508693
71,orthomosaic_002.png,173.31,463.42,3276.4,204.77,197.85,light,51.250004,5.9508673
72,orthomosaic_002.png,103.42,458.91,8972.75,560.8,482.96,medium,51.2500041,5.9508648
73,orthomosaic_002.png,192.49,544.21,12253.37,765.84,629.2,heavy,51.2500022,5.950868
74,orthomosaic_002.png,395.72,162.08,8453.99,528.37,461.12,medium,51.2500107,5.9508753
75,orthomosaic_002.png,306.87,216.86,9389.21,586.83,500.05,heavy,51.2500095,5.9508721
76,orthomosaic_002.png,243.09,315.22,5014.87,313.43,293.88,light,51.2500073,5.9508698
77,orthomosaic_002.png,354.91,530.21,12945.18,809.07,660.82,heavy,51.2500025,5.9508738
78,orthomosaic_002.png,356.59,399.63,12524.19,782.76,643.87,heavy,51.2500054,5.9508739
79,orthomosaic_002.png,490.33,327.72,4872.94,304.56,285.86,light,51.250007,5.9508787
80,orthomosaic_002.png,357.92,201.43,3066.37,191.65,186.2,light,51.2500098,5.9508739
81,orthomosaic_002.png,434.77,537.31,5372.16,335.76,310.74,light,51.2500023,5.9508767
82,orthomosaic_002.png,580.52,431.61,7622.06,476.38,419.77,medium,51.2500047,5.9508819
83,orthomosaic_002.png,477.75,231.56,11914.25,744.64,614.0,heavy,51.2500092,5.9508782
84,orthomosaic_002.png,379.07,83.44,12793.84,799.61,652.96,heavy,51.2500125,5.9508747
85,orthomosaic_002.png,103.14,336.93,6220.36,388.77,352.92,medium,51.2500068,5.9508648
86,orthomosaic_002.png,189.92,426.14,5178.92,323.68,300.99,light,51.2500048,5.9508679
87,orthomosaic_002.png,485.93,347.76,5311.71,331.98,306.29,light,51.2500066,5.9508785
88,orthomosaic_002.png,287.93,71.08,4627.87,289.24,271.57,light,51.2500128,5.9508714
89,orthomosaic_002.png,62.46,350.03,8551.31,534.46,464.76,medium,51.2500065,5.9508633
90,orthomosaic_002.png,143.43,147.91,11335.43,708.46,593.61,heavy,51.2500111,5.9508663
91,orthomosaic_003.png,172.23,105.7,3061.02,191.31,186.11,light,51.250012,5.9512978
92,orthomosaic_003.png,506.9,397.53,9753.71,609.61,521.37,heavy,51.2500054,5.9513098
93,orthomosaic_003.png,333.69,274.46,5297.87,331.12,304.76,light,51.2500082,5.9513036
94,orthomosaic_003.png,155.4,311.8,6403.36,400.21,360.56,medium,51.2500074,5.9512972
95,orthomosaic_003.png,357.91,573.39,11942.74,746.42,617.94,heavy,51.2500015,5.9513045
96,orthomosaic_003.png,276.47,105.28,9303.26,581.45,498.46,medium,51.250012,5.9513016
97,orthomosaic_003.png,551.87,259.17,7623.48,476.47,419.83,medium,51.2500086,5.9513115
98,orthomosaic_003.png,390.71,519.07,4032.29,252.02,240.46,light,51.2500027,5.9513057
99,orthomosaic_003.png,73.01,485.68,9065.32,566.58,490.41,medium,51.2500035,5.9512943
100,orthomosaic_003.png,123.28,376.69,7689.48,480.59,422.47,medium,51.2500059,5.9512961
101,orthomosaic_003.png,390.17,125.15,6540.61,408.79,366.98,medium,51.2500116,5.9513057
102,orthomosaic_003.png,122.14,305.08,5810.29,363.14,325.96,light,51.2500075,5.951296
103,orthomosaic_003.png,326.6,379.52,11496.57,718.54,594.2,heavy,51.2500058,5.9513034
104,orthomosaic_003.png,452.43,162.84,3555.55,222.22,211.87,light,51.2500107,5.9513079
105,orthomosaic_003.png,44.11,258.05,3413.78,213.36,204.07,light,51.2500086,5.9512932
106,orthomosaic_003.png,235.15,536.75,3289.86,205.62,201.86,light,51.2500023,5.9513001
107,orthomosaic_003.png,277.18,100.91,2359.15,147.45,144.09,light,51.2500121,5.9513016
108,orthomosaic_003.png,550.44,193.66,8254.11,515.88,449.09,medium,51.25001,5.9513114
109,orthomosaic_003.png,415.14,324.93,10344.04,646.5,544.95,heavy,51.2500071,5.9513066
110,orthomosaic_003.png,179.1,494.8,6131.98,383.25,345.52,light,51.2500033,5.9512981
111,orthomosaic_003.png,323.07,340.69,9269.2,579.32,494.4,medium,51.2500067,5.9513033
112,orthomosaic_003.png,337.25,398.27,12058.79,753.67,620.69,heavy,51.2500054,5.9513038
113,orthomosaic_003.png,319.61,392.72,3817.45,238.59,229.03,light,51.2500056,5.9513031
114,orthomosaic_003.png,482.79,264.07,4798.15,299.88,281.41,light,51.2500084,5.951309
115,orthomosaic_003.png,550.57,256.07,4157.51,259.84,248.52,light,51.2500086,5.9513114
116,orthomosaic_003.png,573.93,58.24,5945.62,371.6,341.25,light,51.2500131,5.9513123
117,orthomosaic_003.png,291.1,464.16,6799.53,424.97,380.72,medium,51.2500039,5.9513021
118,orthomosaic_003.png,454.01,427.5,14285.72,892.86,719.55,heavy,51.2500048,5.9513079
119,orthomosaic_003.png,132.43,133.49,5675.03,354.69,326.48,light,51.2500114,5.9512964
120,orthomosaic_003.png,417.83,274.71,9667.81,604.24,518.89,heavy,51.2500082,5.9513067
121,orthomosaic_004.png,309.76,578.89,11388.21,711.76,591.33,heavy,51.2502709,5.9500111
122,orthomosaic_004.png,95.79,316.75,6235.3,389.71,357.92,medium,51.2502768,5.9500034
123,orthomosaic_004.png,219.41,94.41,4519.05,282.44,265.87,light,51.2502817,5.9500079
124,orthomosaic_004.png,335.4,392.81,8439.97,527.5,459.56,medium,51.250275,5.950012
125,orthomosaic_004.png,187.14,441.43,13909.02,869.31,700.4,heavy,51.250274,5.9500067
126,orthomosaic_004.png,222.99,419.59,3937.55,246.1,236.19,light,51.2502744,5.950008
127,orthomosaic_004.png,455.27,570.94,4757.12,297.32,277.76,light,51.250271,5.9500163
128,orthomosaic_004.png,131.8,491.8,11076.77,692.3,577.53,heavy,51.2502728,5.9500047
129,orthomosaic_004.png,300.42,230.48,10978.32,686.14,577.97,heavy,51.2502787,5.9500108
130,orthomosaic_004.png,535.5,498.77,10433.4,652.09,547.04,heavy,51.2502727,5.9500192
131,orthomosaic_004.png,100.97,472.46,2331.49,145.72,145.09,light,51.2502733,5.9500036
132,orthomosaic_004.png,571.71,296.01,12749.07,796.82,650.41,heavy,51.2502772,5.9500205
133,orthomosaic_004.png,487.41,461.77,8093.65,505.85,442.91,medium,51.2502735,5.9500175
134,orthomosaic_004.png,79.48,428.18,7865.03,491.56,432.23,medium,51.2502743,5.9500029
135,orthomosaic_004.png,516.13,194.61,3904.2,244.01,232.42,light,51.2502795,5.9500185
136,orthomosaic_004.png,80.3,336.7,12531.72,783.23,644.03,heavy,51.2502763,5.9500029
137,orthomosaic_004.png,268.07,296.31,14467.32,904.21,727.67,heavy,51.2502772,5.9500096
138,orthomosaic_004.png,520.49,170.75,8611.78,538.24,463.96,medium,51.25028,5.9500187
139,orthomosaic_004.png,253.18,105.76,12763.88,797.74,651.48,heavy,51.2502815,5.9500091
140,orthomosaic_004.png,393.58,445.37,5254.65,328.42,305.99,light,51.2502739,5.9500141
141,orthomosaic_004.png,393.92,353.48,10814.77,675.92,570.84,heavy,51.2502759,5.9500141
142,orthomosaic_004.png,145.55,426.75,7407.12,462.94,411.6,medium,51.2502743,5.9500052
143,orthomosaic_004.png,173.41,308.17,11621.08,726.32,599.52,heavy,51.2502769,5.9500062
144,orthomosaic_004.png,125.32,311.97,6315.02,394.69,358.51,medium,51.2502769,5.9500045
145,orthomosaic_004.png,241.87,376.08,13030.55,814.41,666.34,heavy,51.2502754,5.9500087
146,orthomosaic_004.png,586.86,181.72,6846.05,427.88,383.38,medium,51.2502798,5.9500211
147,orthomosaic_004.png,117.58,362.16,10957.62,684.85,572.71,heavy,51.2502757,5.9500042
148,orthomosaic_004.png,238.82,383.07,3569.25,223.08,212.73,light,51.2502753,5.9500086
149,orthomosaic_004.png,236.43,268.07,9803.63,612.73,521.8,heavy,51.2502778,5.9500085
150,orthomosaic_004.png,213.27,515.27,5013.66,313.35,288.33,light,51.2502723,5.9500077
151,orthomosaic_005.png,358.95,221.69,2675.59,167.22,166.71,light,51.2502789,5.9504434
152,orthomosaic_005.png,444.2,125.06,10204.29,637.77,541.21,heavy,51.2502811,5.9504465
153,orthomosaic_005.png,548.0,178.45,3311.63,206.98,200.99,light,51.2502799,5.9504502
154,orthomosaic_005.png,168.14,586.61,3259.22,203.7,199.0,light,51.2502707,5.9504366
155,orthomosaic_005.png,537.0,90.9,8971.56,560.72,484.77,medium,51.2502818,5.9504498
156,orthomosaic_005.png,387.58,476.36,3405.52,212.84,205.79,light,51.2502732,5.9504445
157,orthomosaic_005.png,457.99,385.47,11665.46,729.09,606.62,heavy,51.2502752,5.950447
158,orthomosaic_005.png,391.51,530.82,5706.62,356.66,328.18,light,51.2502719,5.9504446
159,orthomosaic_005.png,425.37,383.25,12813.62,800.85,655.26,heavy,51.2502753,5.9504458
160,orthomosaic_005.png,184.94,398.6,6692.27,418.27,375.55,medium,51.2502749,5.9504372
161,orthomosaic_005.png,294.65,126.46,5755.68,359.73,333.04,light,51.250281,5.9504411
162,orthomosaic_005.png,477.23,265.06,2608.33,163.02,158.68,light,51.2502779,5.9504477
163,orthomosaic_005.png,316.44,326.66,3603.29,225.21,213.67,light,51.2502765,5.9504419
164,orthomosaic_005.png,404.3,115.3,8739.52,546.22,472.05,medium,51.2502813,5.9504451
165,orthomosaic_005.png,255.66,527.21,2647.08,165.44,162.11,light,51.250272,5.9504397
166,orthomosaic_005.png,159.82,380.77,9568.43,598.03,511.06,heavy,51.2502753,5.9504363
167,orthomosaic_005.png,221.96,559.98,2860.27,178.77,169.8,light,51.2502713,5.9504385
168,orthomosaic_005.png,552.88,529.5,5617.49,351.09,324.75,light,51.250272,5.9504504
169,orthomosaic_005.png,481.47,395.21,13534.04,845.88,686.17,heavy,51.250275,5.9504478
170,orthomosaic_005.png,365.35,598.69,3177.75,198.61,190.52,light,51.2502704,5.9504437
171,orthomosaic_005.png,198.52,99.98,7386.96,461.68,407.52,medium,51.2502816,5.9504377
172,orthomosaic_005.png,505.7,387.13,3938.81,246.18,238.44,light,51.2502752,5.9504487
173,orthomosaic_005.png,488.06,212.95,4389.82,274.36,259.36,light,51.2502791,5.9504481
174,orthomosaic_005.png,296.33,305.94,5831.12,364.45,328.14,light,51.250277,5.9504412
175,orthomosaic_005.png,109.48,534.62,11863.44,741.47,610.14,heavy,51.2502719,5.9504345
176,orthomosaic_005.png,220.8,396.64,12983.23,811.45,663.72,heavy,51.250275,5.9504385
177,orthomosaic_005.png,115.91,112.0,3705.11,231.57,223.16,light,51.2502814,5.9504347
178,orthomosaic_005.png,253.13,207.54,4910.95,306.93,288.43,light,51.2502792,5.9504396
179,orthomosaic_005.png,597.92,250.62,2293.0,143.31,141.33,light,51.2502782,5.950452
180,orthomosaic_005.png,548.24,380.4,4032.62,252.04,242.97,light,51.2502753,5.9504502
181,orthomosaic_006.png,399.78,430.9,10565.76,660.36,554.17,heavy,51.2502742,5.9508755
182,orthomosaic_006.png,511.1,450.95,3825.16,239.07,233.67,light,51.2502737,5.9508794
183,orthomosaic_006.png,256.62,342.48,7394.56,462.16,408.41,medium,51.2502762,5.9508703
184,orthomosaic_006.png,533.5,590.89,4536.34,283.52,269.12,light,51.2502706,5.9508802
185,orthomosaic_006.png,166.47,369.44,7976.22,498.51,435.99,medium,51.2502756,5.9508671
186,orthomosaic_006.png,128.09,371.85,3495.11,218.44,211.42,light,51.2502755,5.9508657
187,orthomosaic_006.png,559.08,250.44,10571.42,660.71,556.49,heavy,51.2502782,5.9508812
188,orthomosaic_006.png,527.22,65.6,9906.79,619.17,523.76,heavy,51.2502824,5.95088
189,orthomosaic_006.png,492.4,240.16,3082.84,192.68,186.59,light,51.2502785,5.9508788
190,orthomosaic_006.png,70.67,379.36,4603.35,287.71,271.21,light,51.2502753,5.9508636
191,orthomosaic_006.png,510.98,226.92,2725.05,170.32,166.91,light,51.2502788,5.9508794
192,orthomosaic_006.png,147.94,279.01,13510.63,844.41,689.73,heavy,51.2502776,5.9508664
193,orthomosaic_006.png,513.06,321.61,13969.55,873.1,707.47,heavy,51.2502766,5.9508795
194,orthomosaic_006.png,267.57,527.87,9251.94,578.25,500.35,heavy,51.250272,5.9508707
195,orthomosaic_006.png,527.8,484.69,5130.99,320.69,299.06,light,51.250273,5.95088
196,orthomosaic_006.png,605.11,443.76,2127.14,132.95,128.82,light,51.2502739,5.9508828
197,orthomosaic_006.png,458.34,199.71,6827.62,426.73,381.66,medium,51.2502794,5.9508776
198,orthomosaic_006.png,557.53,318.66,7563.92,472.74,418.92,medium,51.2502767,5.9508811
199,orthomosaic_006.png,362.37,471.93,10041.0,627.56,532.07,heavy,51.2502733,5.9508741
200,orthomosaic_006.png,349.56,523.5,12061.03,753.81,621.29,heavy,51.2502721,5.9508736
201,orthomosaic_006.png,429.01,139.43,10840.3,677.52,569.17,heavy,51.2502807,5.9508765
202,orthomosaic_006.png,350.58,71.53,3740.67,233.79,223.36,light,51.2502823,5.9508737
203,orthomosaic_006.png,354.71,221.61,3626.75,226.67,220.09,light,51.2502789,5.9508738
204,orthomosaic_006.png,254.46,359.88,13627.81,851.74,688.72,heavy,51.2502758,5.9508702
205,orthomosaic_006.png,540.4,488.94,12235.45,764.72,632.01,heavy,51.2502729,5.9508805
206,orthomosaic_006.png,347.26,384.06,9316.4,582.27,501.41,heavy,51.2502752,5.9508736
207,orthomosaic_006.png,281.34,57.74,8447.18,527.95,459.49,medium,51.2502826,5.9508712
208,orthomosaic_006.png,364.0,343.66,3138.62,196.16,189.24,light,51.2502761,5.9508742
209,orthomosaic_006.png,246.73,73.61,11715.88,732.24,606.69,heavy,51.2502822,5.95087
210,orthomosaic_006.png,314.99,187.43,6498.88,406.18,362.25,medium,51.2502797,5.9508724
211,orthomosaic_007.png,511.8,416.11,3036.21,189.76,184.45,light,51.2502745,5.95131
212,orthomosaic_007.png,305.5,511.73,5854.98,365.94,337.11,light,51.2502724,5.9513026
213,orthomosaic_007.png,184.47,508.96,2224.93,139.06,136.39,light,51.2502724,5.9512983
214,orthomosaic_007.png,249.66,277.47,4571.77,285.74,269.22,light,51.2502776,5.9513006
215,orthomosaic_007.png,368.78,190.63,3364.2,210.26,202.58,light,51.2502796,5.9513049
216,orthomosaic_007.png,429.92,323.91,12991.82,811.99,661.06,heavy,51.2502766,5.9513071
217,orthomosaic_007.png,601.4,369.51,3608.32,225.52,213.7,light,51.2502756,5.9513132
218,orthomosaic_007.png,58.4,237.24,5840.38,365.02,333.23,light,51.2502785,5.9512938
219,orthomosaic_007.png,123.36,235.35,6525.02,407.81,366.32,medium,51.2502786,5.9512961
220,orthomosaic_007.png,301.23,420.76,8237.88,514.87,450.77,medium,51.2502744,5.9513025
221,orthomosaic_007.png,189.82,261.92,12495.05,780.94,639.42,heavy,51.250278,5.9512985
222,orthomosaic_007.png,304.75,152.35,2273.17,142.07,136.46,light,51.2502804,5.9513026
223,orthomosaic_007.png,529.22,445.15,9358.97,584.94,505.6,heavy,51.2502739,5.9513106
224,orthomosaic_007.png,95.84,477.94,5109.43,319.34,301.05,light,51.2502731,5.9512951
225,orthomosaic_007.png,499.99,301.82,6427.88,401.74,362.45,medium,51.2502771,5.9513096
226,orthomosaic_007.png,312.53,508.14,4954.22,309.64,284.6,light,51.2502725,5.9513029
227,orthomosaic_007.png,456.47,254.36,3799.44,237.47,224.36,light,51.2502782,5.951308
228,orthomosaic_007.png,113.06,368.99,10615.14,663.45,559.07,heavy,51.2502756,5.9512957
229,orthomosaic_007.png,541.55,596.05,3629.56,226.85,217.5,light,51.2502705,5.9513111
230,orthomosaic_007.png,484.14,111.18,12670.06,791.88,646.7,heavy,51.2502814,5.951309
231,orthomosaic_007.png,384.53,59.07,12856.77,803.55,657.42,heavy,51.2502825,5.9513055
232,orthomosaic_007.png,350.34,359.32,9009.51,563.09,487.29,medium,51.2502758,5.9513042
233,orthomosaic_007.png,439.84,503.31,2741.61,171.35,168.33,light,51.2502726,5.9513074
234,orthomosaic_007.png,166.15,76.58,4127.15,257.95,245.53,light,51.2502821,5.9512976
235,orthomosaic_007.png,601.89,75.15,2722.2,170.14,168.02,light,51.2502822,5.9513133
236,orthomosaic_007.png,326.96,344.68,10527.89,657.99,554.38,heavy,51.2502761,5.9513034
237,orthomosaic_007.png,349.07,401.67,4588.72,286.8,269.79,light,51.2502748,5.9513042
238,orthomosaic_007.png,446.53,125.08,10399.24,649.95,547.91,heavy,51.2502811,5.9513077
239,orthomosaic_007.png,395.51,273.92,5488.12,343.01,316.7,light,51.2502777,5.9513059
240,orthomosaic_007.png,463.18,524.18,6054.11,378.38,347.63,light,51.2502721,5.9513083
241,orthomosaic_008.png,213.98,380.05,5424.14,339.01,310.59,light,51.2505448,5.9500077
242,orthomosaic_008.png,579.91,499.13,3050.35,190.65,182.17,light,51.2505422,5.9500208
243,orthomosaic_008.png,373.2,340.13,10705.78,669.11,563.1,heavy,51.2505457,5.9500134
244,orthomosaic_008.png,97.66,155.97,10195.03,637.19,542.08,heavy,51.2505499,5.9500035
245,orthomosaic_008.png,186.16,59.25,6533.56,408.35,370.62,medium,51.250552,5.9500067
246,orthomosaic_008.png,280.53,347.96,9510.19,594.39,504.18,heavy,51.2505455,5.9500101
247,orthomosaic_008.png,530.46,444.66,6777.21,423.58,382.07,medium,51.2505434,5.950019
248,orthomosaic_008.png,130.59,402.5,6275.63,392.23,356.03,medium,51.2505443,5.9500047
249,orthomosaic_008.png,434.28,492.47,6675.09,417.19,377.46,medium,51.2505423,5.9500156
250,orthomosaic_008.png,76.37,470.23,4739.74,296.23,277.09,light,51.2505428,5.9500027
251,orthomosaic_008.png,325.44,103.42,13397.15,837.32,679.03,heavy,51.250551,5.9500117
252,orthomosaic_008.png,423.49,565.53,5738.25,358.64,326.7,light,51.2505407,5.9500152
253,orthomosaic_008.png,41.04,207.4,2752.5,172.03,169.26,light,51.2505487,5.9500015
254,orthomosaic_008.png,417.56,435.63,8142.32,508.89,444.85,medium,51.2505436,5.950015
255,orthomosaic_008.png,559.5,540.33,8499.56,531.22,463.2,medium,51.2505412,5.9500201
256,orthomosaic_008.png,122.17,70.11,3604.19,225.26,218.47,light,51.2505518,5.9500044
257,orthomosaic_008.png,249.63,232.83,12425.66,776.6,640.42,heavy,51.2505481,5.950009
258,orthomosaic_008.png,378.16,245.05,5337.18,333.57,314.4,light,51.2505479,5.9500136
259,orthomosaic_008.png,532.95,274.9,3895.16,243.45,228.62,light,51.2505472,5.9500191
260,orthomosaic_008.png,200.66,182.25,6255.8,390.99,356.1,medium,51.2505493,5.9500072
261,orthomosaic_008.png,267.35,576.83,12716.64,794.79,652.68,heavy,51.2505404,5.9500096
262,orthomosaic_008.png,423.21,445.0,2442.14,152.63,150.64,light,51.2505434,5.9500152
263,orthomosaic_008.png,575.9,112.5,4544.74,284.05,270.26,light,51.2505508,5.9500207
264,orthomosaic_008.png,367.87,330.63,11938.91,746.18,618.15,heavy,51.2505459,5.9500132
265,orthomosaic_008.png,482.34,516.56,2736.74,171.05,168.49,light,51.2505418,5.9500173
266,orthomosaic_008.png,413.55,550.16,13504.64,844.04,685.78,heavy,51.250541,5.9500148
267,orthomosaic_008.png,193.24,472.69,7196.35,449.77,401.23,medium,51.2505427,5.9500069
268,orthomosaic_008.png,239.87,418.91,3626.08,226.63,218.67,light,51.250544,5.9500086
269,orthomosaic_008.png,497.83,165.7,12449.91,778.12,639.16,heavy,51.2505496,5.9500179
270,orthomosaic_008.png,229.22,90.25,9340.89,583.81,499.97,medium,51.2505513,5.9500082
271,orthomosaic_009.png,251.63,76.64,14176.26,886.02,711.31,heavy,51.2505516,5.9504396
272,orthomosaic_009.png,217.19,332.48,8670.22,541.89,471.37,medium,51.2505459,5.9504383
273,orthomosaic_009.png,452.07,264.44,12620.93,788.81,650.47,heavy,51.2505474,5.9504468
274,orthomosaic_009.png,99.07,396.2,12149.07,759.32,625.53,heavy,51.2505445,5.9504341
275,orthomosaic_009.png,455.43,548.43,5313.03,332.06,308.82,light,51.250541,5.9504469
276,orthomosaic_009.png,369.51,86.8,3097.94,193.62,187.26,light,51.2505514,5.9504438
277,orthomosaic_009.png,210.26,248.12,9997.56,624.85,531.25,heavy,51.2505478,5.9504381
278,orthomosaic_009.png,409.45,198.93,10617.59,663.6,559.83,heavy,51.2505489,5.9504452
279,orthomosaic_009.png,465.27,239.04,4780.33,298.77,279.95,light,51.250548,5.9504472
280,orthomosaic_009.png,31.21,604.82,3113.89,194.62,186.79,light,51.2505398,5.9504317
281,orthomosaic_009.png,496.88,466.53,7685.94,480.37,426.94,medium,51.2505429,5.9504484
282,orthomosaic_009.png,158.78,523.42,5181.4,323.84,301.49,light,51.2505416,5.9504363
283,orthomosaic_009.png,350.07,255.86,5404.57,337.79,310.11,light,51.2505476,5.9504431
284,orthomosaic_009.png,329.81,114.17,10820.38,676.27,568.55,heavy,51.2505508,5.9504424
285,orthomosaic_009.png,174.52,456.49,2954.02,184.63,180.25,light,51.2505431,5.9504368
286,orthomosaic_009.png,193.15,447.46,11760.96,735.06,606.22,heavy,51.2505433,5.9504375
